coalition_labels,size,chi2,is_outlier
cbar|sbar|ubar|s,4,0.03094314,0
sbar|dbar|g|c,4,0.03083524,0
cbar|ubar|u|s,4,0.03082478,0
cbar|sbar|ubar|dbar|g|c,6,0.03075179,0
cbar|g|d,3,0.03059096,0
sbar|dbar|d|s|c,5,0.03057104,0
ubar|dbar|u|s|c,5,0.03048212,0
cbar|sbar|g|u|c,5,0.03044619,0
cbar|dbar|d|s,4,0.03042107,0
cbar|sbar|ubar|s|c,5,0.03032126,0
cbar|ubar|dbar|g|u,5,0.02989886,0
cbar|sbar|ubar|dbar|s,5,0.02981055,0
d|s|c,3,0.02978899,0
cbar|dbar|g|d|u,5,0.02973308,0
sbar|dbar|g|d|c,5,0.02956910,0
cbar|sbar|dbar|g|d,5,0.02949033,0
cbar|dbar|d|s|c,5,0.02945290,0
dbar|g|u,3,0.02925321,0
sbar|ubar|u|s,4,0.02919941,0
sbar|dbar|d|s,4,0.02856614,0
sbar|d|s,3,0.02853142,0
sbar|u|c,3,0.02830873,0
sbar|g|d|u,4,0.02825792,0
sbar|ubar|dbar|g|c,5,0.02810244,0
sbar|ubar|g|u,4,0.02808784,0
sbar|dbar|g|s|c,5,0.02803554,0
cbar|sbar|ubar|u|c,5,0.02798690,0
cbar|dbar|u|c,4,0.02798672,0
cbar|g|d|c,4,0.02788537,0
dbar|d|u|s,4,0.02782414,0
sbar|d|s|c,4,0.02754730,0
sbar|ubar|dbar|s|c,5,0.02745735,0
cbar|sbar|dbar|g|c,5,0.02737229,0
cbar|sbar|dbar|g|s|c,6,0.02731768,0
cbar|sbar|g|d,4,0.02730378,0
cbar|sbar|ubar|dbar|g,5,0.02713186,0
cbar|sbar|g|d|c,5,0.02708655,0
ubar|dbar|g|u,4,0.02699126,0
ubar|dbar|g|s|c,5,0.02698114,0
cbar|g|d|u|c,5,0.02691589,0
cbar|ubar|dbar|u|c,5,0.02678380,0
dbar|g|d|u,4,0.02677969,0
cbar|sbar|d|u|c,5,0.02666507,0
ubar|s,2,0.02658793,0
dbar|u|s|c,4,0.02649142,0
ubar|dbar|g|s,4,0.02643163,0
cbar|ubar|g|u|c,5,0.02640930,0
ubar|dbar|u|s,4,0.02637619,0
d|u|s|c,4,0.02637200,0
sbar|dbar|c,3,0.02633335,0
sbar|dbar|g|d,4,0.02631067,0
dbar|g|u|s,4,0.02616233,0
sbar|g|u,3,0.02613287,0
d|u|s,3,0.02610760,0
cbar|dbar|g|u,4,0.02604922,0
cbar|g|d|u,4,0.02588210,0
cbar|sbar|g|u|s,5,0.02576838,0
cbar|dbar|g|u|s,5,0.02570501,0
cbar|ubar|g,3,0.02554724,0
cbar|ubar|dbar|s,4,0.02525095,0
sbar|ubar|u|c,4,0.02520775,0
sbar|g|u|s,4,0.02519280,0
cbar|ubar|dbar|s|c,5,0.02513795,0
dbar|u,2,0.02508169,0
cbar|dbar|d|u|c,5,0.02507677,0
ubar|dbar|u|c,4,0.02503632,0
cbar|sbar|u|c,4,0.02498338,0
cbar|dbar|u|s|c,5,0.02487747,0
sbar|dbar|g,3,0.02462102,0
sbar|u|s|c,4,0.02460716,0
sbar|ubar|dbar|s,4,0.02460467,0
cbar|ubar|g|u,4,0.02452147,0
ubar|u|s|c,4,0.02424330,0
cbar|sbar|ubar|g|c,5,0.02402954,0
cbar|sbar|u|s|c,5,0.02402349,0
sbar|ubar|dbar|g,4,0.02399867,0
ubar|s|c,3,0.02397112,0
cbar|sbar|g|u,4,0.02396296,0
sbar|d|u|c,4,0.02383624,0
cbar|sbar|ubar|u,4,0.02379727,0
cbar|ubar|g|c,4,0.02369396,0
dbar|d|s,3,0.02348434,0
cbar|sbar|dbar|d|c,5,0.02344659,0
cbar|sbar|ubar|g,4,0.02340153,0
cbar|sbar|d|u,4,0.02332481,0
cbar|d,2,0.02332033,0
dbar|d|u|c,4,0.02327911,0
cbar|dbar|g|d|c,5,0.02324021,0
ubar|u|s,3,0.02312280,0
sbar|ubar|s,3,0.02301663,0
g|d,2,0.02300035,0
dbar|d|s|c,4,0.02299753,0
cbar|dbar|g|d,4,0.02295886,0
sbar|dbar|g|s,4,0.02288783,0
sbar|ubar|s|c,4,0.02287984,0
cbar|sbar|dbar|g|s,5,0.02265664,0
cbar|sbar|ubar|dbar|c,5,0.02262181,0
cbar|sbar|dbar|c,4,0.02219894,0
cbar|ubar|dbar|u,4,0.02209186,0
sbar|dbar|s|c,4,0.02183877,0
g|d|u|c,4,0.02172075,0
sbar|g|d|c,4,0.02166998,0
cbar|sbar|dbar|g,4,0.02164318,0
sbar|u,2,0.02153078,0
sbar|dbar|d|c,4,0.02142637,0
sbar|g|d,3,0.02140223,0
ubar|g|u|c,4,0.02125991,0
cbar|dbar|d|u,4,0.02124162,0
cbar|dbar|u,3,0.02120493,0
cbar|sbar|dbar|d,4,0.02085871,0
g|d|c,3,0.02077665,0
sbar|ubar|dbar|c,4,0.02065248,0
cbar|ubar|dbar|g|c,5,0.02058453,0
sbar|ubar|u,3,0.02053545,0
cbar|sbar|dbar|s|c,5,0.02044709,0
cbar|d|c,3,0.02043288,0
sbar|dbar,2,0.02030803,0
dbar|u|s,3,0.02029428,0
g|d|u,3,0.02020590,0
sbar|d|u,3,0.02001293,0
ubar|dbar|u,3,0.01986558,0
cbar|ubar|dbar|g,4,0.01945046,0
cbar|sbar|ubar|dbar,4,0.01918589,0
cbar|dbar|u|s,4,0.01916185,0
cbar|sbar|d,3,0.01913994,0
dbar|d|u,3,0.01896484,0
cbar|ubar,2,0.01895460,0
sbar|u|s,3,0.01889502,0
ubar|g|u,3,0.01889138,0
cbar|ubar|u|c,4,0.01888392,0
dbar|g|d|c,4,0.01885275,0
cbar|sbar|u|s,4,0.01879687,0
cbar|sbar|d|c,4,0.01873776,0
ubar|dbar|s|c,4,0.01872596,0
cbar|d|u|c,4,0.01870566,0
cbar|sbar|u,3,0.01868942,0
sbar|ubar|g|c,4,0.01865944,0
ubar|dbar|s,3,0.01835786,0
sbar|dbar|d,3,0.01835549,0
dbar|g|d,3,0.01809035,0
ubar|g,2,0.01800419,0
cbar|d|u,3,0.01785655,0
cbar|g|u|s|c,5,0.01767707,0
sbar|ubar|g,3,0.01754677,0
cbar|ubar|u,3,0.01717840,0
cbar|ubar|c,3,0.01692187,0
sbar|dbar|s,3,0.01687936,0
sbar|ubar|dbar,3,0.01673382,0
cbar|sbar|dbar,3,0.01665762,0
ubar|g|c,3,0.01663248,0
d,1,0.01640932,0
cbar|sbar|ubar|c,4,0.01636670,0
ubar|dbar|g|c,4,0.01624404,0
cbar|sbar|dbar|s,4,0.01597324,0
cbar|sbar|ubar,3,0.01592122,0
g|u|s|c,4,0.01589445,0
g|u|c,3,0.01567080,0
cbar|dbar|d|c,4,0.01531860,0
cbar|dbar|d,3,0.01522056,0
cbar|sbar|g|s|c,5,0.01504562,0
cbar|g|u|s,4,0.01476154,0
cbar|g|u|c,4,0.01470781,0
ubar|dbar|g,3,0.01462919,0
ubar|u|c,3,0.01441575,0
d|u|c,3,0.01418701,0
d|c,2,0.01400268,0
sbar|d|c,3,0.01399745,0
sbar|d,2,0.01391573,0
cbar|dbar|g|s|c,5,0.01364131,0
cbar|sbar|g|s,4,0.01337562,0
cbar|ubar|dbar|c,4,0.01334532,0
dbar|g|c,3,0.01323147,0
sbar|g|s|c,4,0.01304218,0
d|u,2,0.01285793,0
dbar|g|s|c,4,0.01266572,0
g|u|s,3,0.01249547,0
cbar|ubar|dbar,3,0.01239214,0
ubar|u,2,0.01223061,0
ubar,1,0.01209584,0
cbar|g|s,3,0.01201590,0
u|c,2,0.01177938,0
sbar|ubar|c,3,0.01167756,0
dbar|d|c,3,0.01160878,0
cbar|dbar|g|s,4,0.01147858,0
cbar|dbar|g|c,4,0.01146035,0
sbar|g|c,3,0.01144659,0
cbar|u|s|c,4,0.01141624,0
g|u,2,0.01120665,0
cbar|g|s|c,4,0.01119210,0
dbar|d,2,0.01103078,0
sbar|g|s,3,0.01088465,0
sbar|ubar,2,0.01074851,0
cbar|g|u,3,0.01072568,0
cbar|sbar|g|c,4,0.01070491,0
ubar|c,2,0.01054360,0
u|s|c,3,0.01030855,0
cbar|u|c,3,0.01014377,0
dbar|g|s,3,0.01001950,0
ubar|dbar|c,3,0.00968714,0
dbar|c,2,0.00962901,0
dbar|g,2,0.00951995,0
cbar|u|s,3,0.00868617,0
cbar|sbar|s|c,4,0.00864633,0
ubar|dbar,2,0.00825428,0
cbar|dbar|g,3,0.00823089,0
sbar|g,2,0.00822267,0
cbar|sbar|g,3,0.00796696,0
g|s,2,0.00783431,0
cbar|dbar|s|c,4,0.00766844,0
u,1,0.00750233,0
g|s|c,3,0.00749485,0
sbar|c,2,0.00741514,0
dbar|s|c,3,0.00736899,0
sbar|s|c,3,0.00731757,0
cbar|dbar|c,3,0.00718413,0
cbar|sbar|s,3,0.00716200,0
u|s,2,0.00709611,0
cbar|s,2,0.00669662,0
cbar|u,2,0.00634765,0
dbar,1,0.00610322,0
cbar|sbar|c,3,0.00600108,0
cbar|s|c,3,0.00569025,0
cbar|dbar|s,3,0.00568978,0
sbar|s,2,0.00534681,0
dbar|s,2,0.00490793,0
cbar|g|c,3,0.00462426,0
cbar|g,2,0.00438149,0
sbar,1,0.00437854,0
cbar|dbar,2,0.00413930,0
g|c,2,0.00367378,0
cbar|sbar,2,0.00344936,0
s,1,0.00319307,0
g,1,0.00294812,0
s|c,2,0.00266994,0
cbar|c,2,0.00081733,0
cbar,1,0.00075766,0
c,1,0.00054147,0
,0,0.00000000,0
