player,coalition_without,v_without,v_with,delta_v,is_outlier
c,cbar|sbar|dbar|g|d|u|s,0.03036115,0.03463189,0.00427074,0
cbar,g|d|c,0.01327753,0.01754644,0.00426891,0
c,sbar|u,0.01437848,0.01864607,0.00426759,0
sbar,cbar|dbar|d,0.00881848,0.01307867,0.00426018,0
dbar,cbar|ubar|d|u|c,0.03302470,0.02877131,-0.00425339,0
c,sbar|dbar|g|d|u|s,0.02773039,0.03198192,0.00425153,0
cbar,g|d,0.01466596,0.01891302,0.00424706,0
cbar,d|c,0.01167242,0.01591115,0.00423873,0
ubar,cbar|sbar|dbar|u|c,0.04398936,0.03975088,-0.00423848,0
ubar,cbar|sbar|c,0.00479557,0.00903204,0.00423647,0
s,dbar|g|c,0.01203825,0.00780485,-0.00423340,0
d,cbar|sbar|dbar|s|c,0.01704175,0.02126077,0.00421901,0
cbar,d,0.01312079,0.01733728,0.00421649,0
s,sbar|ubar|g|c,0.00869982,0.01291596,0.00421613,0
c,cbar|sbar|dbar|d|u|s,0.02942961,0.03363902,0.00420941,0
u,cbar|sbar|ubar|d|c,0.02865156,0.03286077,0.00420921,0
s,dbar|g|d|u|c,0.01763303,0.02184219,0.00420916,0
s,sbar|dbar|g|d,0.01296324,0.01716465,0.00420142,0
c,sbar|dbar|d|u|s,0.02682837,0.03101816,0.00418979,0
u,dbar|g|d|s,0.01509401,0.01926352,0.00416951,0
dbar,s|c,0.00217056,0.00633586,0.00416530,0
s,cbar|dbar|g|u,0.02105520,0.01689471,-0.00416049,0
u,ubar|d|s|c,0.04627445,0.04211540,-0.00415905,0
s,cbar,0.00045778,0.00461546,0.00415768,0
u,ubar|d,0.03002248,0.02586852,-0.00415397,0
d,cbar|dbar|g|u|s|c,0.02128578,0.02542634,0.00414056,0
dbar,d|c,0.01167242,0.00758033,-0.00409209,0
cbar,sbar|ubar|g|s|c,0.01291596,0.01700583,0.00408988,0
d,u|c,0.00733676,0.01142595,0.00408919,0
cbar,sbar|ubar|g|s,0.01183863,0.01591023,0.00407161,0
cbar,sbar|ubar|s|c,0.01122064,0.01528050,0.00405987,0
u,sbar|g|d,0.01010263,0.01415003,0.00404740,0
u,sbar|g|d|s|c,0.01972862,0.02377201,0.00404339,0
ubar,dbar|u|c,0.02602702,0.02198379,-0.00404323,0
cbar,sbar|ubar|s,0.01020368,0.01424488,0.00404119,0
c,cbar|sbar|ubar|dbar|g,0.01730196,0.02133405,0.00403210,0
u,dbar|d|s,0.01408899,0.01811130,0.00402231,0
cbar,sbar|ubar|dbar|g|d|c,0.02251481,0.02653591,0.00402110,0
sbar,ubar|g|d|u|s,0.04393365,0.03992125,-0.00401240,0
u,ubar|g|d|s|c,0.04781933,0.04380721,-0.00401211,0
c,sbar|ubar|dbar|g,0.01706668,0.02107851,0.00401183,0
c,cbar|ubar|dbar|g|u|s,0.02183009,0.02584150,0.00401141,0
sbar,cbar|dbar|g|d,0.01016226,0.01417093,0.00400867,0
u,ubar|g|d,0.03181599,0.02780779,-0.00400821,0
dbar,cbar|ubar|u|s|c,0.01994486,0.02394949,0.00400462,0
cbar,sbar|ubar|dbar|g|d,0.02030431,0.02430475,0.00400044,0
d,sbar|ubar|dbar|g|u,0.03546773,0.03146928,-0.00399845,0
dbar,cbar|sbar|d|u|s,0.02543133,0.02942961,0.00399828,0
ubar,cbar|sbar|dbar|g|u|c,0.04569081,0.04169714,-0.00399367,0
cbar,sbar|ubar|dbar|d|c,0.02114458,0.02513546,0.00399087,0
sbar,dbar|d|s|c,0.01435263,0.01834237,0.00398974,0
c,ubar|dbar|g|u|s,0.01923716,0.02322687,0.00398971,0
s,cbar|sbar|ubar|u|c,0.02048161,0.02446910,0.00398749,0
cbar,g|d|u|c,0.01317803,0.01715219,0.00397416,0
sbar,cbar|c,0.00082310,0.00479557,0.00397247,0
s,cbar|sbar|dbar|d|u,0.02545770,0.02942961,0.00397192,0
c,cbar|sbar|ubar|dbar,0.01556285,0.01953388,0.00397103,0
cbar,sbar|ubar|dbar|d,0.01899501,0.02296481,0.00396980,0
dbar,sbar|ubar|g|d,0.02427170,0.02030431,-0.00396739,0
s,cbar|ubar|dbar,0.00672903,0.01069485,0.00396582,0
c,cbar|sbar|ubar|g|u,0.01869586,0.02265841,0.00396255,0
d,ubar|dbar|u,0.01744895,0.02140433,0.00395538,0
cbar,g|d|u,0.01231309,0.01626487,0.00395178,0
c,cbar|ubar|dbar|u|s,0.01999872,0.02394949,0.00395077,0
c,sbar|ubar|dbar,0.01535686,0.01930722,0.00395035,0
