,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
31,0.004,0.017,0.07,0.112,0.099,0.046,0.01,0.001,0.0,0.0,0.0,0.004,0.012,0.045,0.059,0.041,0.014,0.002,0.0,0.0,0.0,0.0,0.004,0.016,0.005,0.005,0.005,0.001,0.002,0.011,1.0,0.012,0.015,0.007,0.009,0.004,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0
32,0.001,0.003,0.026,0.076,0.121,0.106,0.057,0.02,0.004,0.0,0.0,0.0,0.003,0.02,0.049,0.065,0.051,0.024,0.007,0.001,0.0,0.0,0.004,0.006,0.01,0.004,0.004,0.001,0.001,0.009,0.012,1.0,0.012,0.006,0.008,0.003,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0
33,0.0,0.0,0.004,0.023,0.077,0.138,0.117,0.058,0.019,0.006,0.001,0.0,0.0,0.004,0.018,0.052,0.074,0.055,0.025,0.008,0.002,0.0,0.004,0.008,0.005,0.009,0.005,0.001,0.002,0.011,0.015,0.012,1.0,0.007,0.009,0.004,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
34,0.0,0.0,0.0,0.003,0.018,0.075,0.151,0.135,0.059,0.017,0.005,0.0,0.0,0.0,0.003,0.016,0.052,0.083,0.061,0.025,0.007,0.003,0.002,0.004,0.002,0.003,0.009,0.001,0.001,0.005,0.007,0.006,0.007,1.0,0.005,0.002,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.001
35,0.0,0.0,0.0,0.0,0.001,0.012,0.063,0.175,0.219,0.136,0.046,0.0,0.0,0.0,0.0,0.002,0.011,0.05,0.106,0.109,0.058,0.019,0.003,0.005,0.003,0.003,0.003,0.014,0.001,0.007,0.009,0.008,0.009,0.005,1.0,0.002,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.007,0.058,0.195,0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.008,0.053,0.127,0.12,0.001,0.002,0.001,0.001,0.001,0.0,0.005,0.003,0.004,0.003,0.004,0.002,0.002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0
37,0.005,0.013,0.025,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.009,0.022,0.011,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005,0.006,0.01,0.009,0.007,0.011,0.009,0.008,0.006,0.009,0.009,0.009,0.004,0.008,0.007,0.008,0.009,0.006
38,0.005,0.015,0.044,0.038,0.015,0.002,0.0,0.0,0.0,0.0,0.0,0.005,0.012,0.032,0.027,0.015,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.005,1.0,0.009,0.015,0.014,0.01,0.017,0.011,0.017,0.009,0.013,0.013,0.014,0.005,0.01,0.014,0.012,0.014,0.01
39,0.001,0.006,0.031,0.051,0.043,0.018,0.003,0.0,0.0,0.0,0.0,0.002,0.007,0.028,0.037,0.03,0.016,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.006,0.009,1.0,0.019,0.017,0.012,0.021,0.013,0.014,0.016,0.016,0.016,0.016,0.007,0.012,0.013,0.017,0.017,0.012
40,0.0,0.001,0.009,0.032,0.058,0.049,0.018,0.003,0.0,0.0,0.0,0.0,0.002,0.013,0.032,0.043,0.033,0.016,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.01,0.015,0.019,1.0,0.03,0.022,0.037,0.024,0.025,0.018,0.032,0.029,0.029,0.012,0.021,0.024,0.026,0.031,0.021
41,0.0,0.0,0.001,0.006,0.029,0.063,0.056,0.02,0.003,0.0,0.0,0.0,0.0,0.003,0.012,0.035,0.049,0.036,0.017,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.009,0.014,0.017,0.03,1.0,0.02,0.033,0.021,0.023,0.016,0.026,0.032,0.026,0.011,0.019,0.021,0.023,0.027,0.019
