#: table_doi: 10.17182/hepdata.78403.v1/t18
#: name: Table 18
#: description: Correlation matrix obtained from the fit combining the ATLAS and CMS data using the generic parameterisation with 23 parameters, $\sigma_i\cdot\mathrm{B}^f$ for each specific channel $i\to H\to f$. Only 20 parameters are shown because the other three, corresponding to the $H\to ZZ$ decay channel for the $WH$, $ZH$, and $ttH$ production processes, are not measured with a meaningful precision.
#: data_file: data18.yaml
#: data_license:   
#: keyword reactions: P P --> HIGGS X
#: keyword observables: CORRELATION
#: keyword phrases: 
#: keyword cmenergies: 7000.0-8000.0
#: SQRT(S) [GEV],7000.0 TO 8000.0
$\sigma_i\cdot\mathrm{B}^f$,$\sigma_j\cdot\mathrm{B}^k$,Correlation
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,0.004
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,0.002
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,0.005
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,0.010
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,0.003
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,0.000
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,0.010
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,0.007
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,0.003
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,1
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,-0.472
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,0.012
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,0.002
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,-0.020
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,0.002
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,-0.001
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,0.011
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,0.001
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,0.001
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,0.001
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,0.002
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,0.002
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,0.001
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,-0.472
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,1
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$ ,0.005
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,0.001
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,-0.016
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,0.005
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,0.008
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,0.002
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,0.008
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,-0.015
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,-0.015
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,0.005
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,0.003
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,0.000
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,0.000
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,0.001
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,0.000
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,0.000
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,0.012
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,0.005
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{ttH}\cdot\mathrm{B}^{bb}$ ,1

