,rs,x,Q2,sigma,stat_u(%),syst_u(%),norm_c(%),sigma (unshifted),0.21882890340205
62,140.712472794703,0.0129,32.5,0.618072398580908,0.009739815193319,1.5,2.5,0.626690804958344,
63,140.712472794703,0.0129,51.5,0.660593388082883,0.01239612842786,1.5,2.5,0.668095111846924,
64,140.712472794703,0.0129,81.5,0.713765305396477,0.016095993290257,1.5,2.5,0.704411625862122,
65,140.712472794703,0.0129,129,0.723651254755548,0.021629979195552,1.5,2.5,0.729171216487885,
66,140.712472794703,0.0205,1.29,0,0.002599392236658,2.5,2.5,0,
67,140.712472794703,0.0205,2.05,0,0.003133817161227,2.5,2.5,0,
68,140.712472794703,0.0205,3.25,0.394576651528715,0.003668242085795,2.5,2.5,0.381887942552567,
69,140.712472794703,0.0205,5.15,0.420366067516556,0.004395565947634,1.5,2.5,0.417724370956421,
70,140.712472794703,0.0205,8.15,0.459455003902189,0.005344249245685,1.5,2.5,0.453188508749008,
71,140.712472794703,0.0205,12.9,0.497584720118866,0.006545914756549,1.5,2.5,0.488137602806091,
72,140.712472794703,0.0205,20.5,0.532533064399406,0.008063808033429,1.5,2.5,0.52234023809433,
73,140.712472794703,0.0205,32.5,0.576800641985651,0.010119288512539,1.5,2.5,0.554441094398499,
74,140.712472794703,0.0205,51.5,0.602919904160233,0.012933715630089,1.5,2.5,0.58492124080658,
75,140.712472794703,0.0205,81.5,0.629772784738103,0.016317352726469,1.5,2.5,0.612705230712891,
76,140.712472794703,0.0205,129,0.637545231922275,0.021471865312543,1.5,2.5,0.636556088924408,
77,140.712472794703,0.0205,205,0.667190934267814,0.028713481154329,1.5,2.5,0.652562320232391,
78,140.712472794703,0.0325,1.29,0,0.002659475512202,2.5,2.5,0,
79,140.712472794703,0.0325,2.05,0,0.00319390043677,2.5,2.5,0,
80,140.712472794703,0.0325,3.25,0.364481912080927,0.003794733192202,2.5,2.5,0.372935742139816,
81,140.712472794703,0.0325,5.15,0.388818561956623,0.004553679830642,2.5,2.5,0.397979646921158,
82,140.712472794703,0.0325,8.15,0.418727714453194,0.005533985905295,1.5,2.5,0.42306262254715,
83,140.712472794703,0.0325,12.9,0.443747779891737,0.006830519745964,1.5,2.5,0.448149561882019,
84,140.712472794703,0.0325,20.5,0.472251407063069,0.008474904129251,1.5,2.5,0.472334027290344,
85,140.712472794703,0.0325,32.5,0.491202678530365,0.010530384608361,1.5,2.5,0.494496583938599,
86,140.712472794703,0.0325,51.5,0.509862054504756,0.013313188949309,1.5,2.5,0.515324771404266,
87,140.712472794703,0.0325,81.5,0.535464620108539,0.017044676588308,1.5,2.5,0.534316003322601,
88,140.712472794703,0.0325,129,0.562111122209875,0.021819715855162,1.5,2.5,0.551420450210571,
89,140.712472794703,0.0325,205,0.570234041659145,0.028745103930931,1.5,2.5,0.566187798976898,
90,140.712472794703,0.0325,325,0.587869526372567,0.039528470752105,1.5,2.5,0.576227962970734,
91,140.712472794703,0.0515,2.05,0,0.003257145989973,2.5,2.5,0,
92,140.712472794703,0.0515,3.25,0.352527011022339,0.003857978745405,2.5,2.5,0.363162308931351,
93,140.712472794703,0.0515,5.15,0.391704488917027,0.004680170937049,2.5,2.5,0.381717592477798,
94,140.712472794703,0.0515,8.15,0.399371211114318,0.005723722564905,2.5,2.5,0.399201571941376,
95,140.712472794703,0.0515,12.9,0.417932488307631,0.007083501958777,1.5,2.5,0.415506392717362,
96,140.712472794703,0.0515,20.5,0.445672171631034,0.008791131895268,1.5,2.5,0.431189835071564,
97,140.712472794703,0.0515,32.5,0.433779075412874,0.011036349033988,1.5,2.5,0.445174366235733,
98,140.712472794703,0.0515,51.5,0.467778913466081,0.013882398928139,1.5,2.5,0.457858860492706,
99,140.712472794703,0.0515,81.5,0.486605995768481,0.017582263790536,1.5,2.5,0.469193071126938,
100,140.712472794703,0.0515,129,0.489619971212276,0.022736776376611,1.5,2.5,0.479307532310486,
