,rs,x,Q2,sigma,stat_u(%),syst_u(%),norm_c(%),sigma (unshifted),0.871254700729057
74,140.71247,0.428,1400,0.210033433094321,1.14557423850106,2,5.8,0.21432538330555,
75,140.71247,0.604567,1400,0.065173935861575,2.23049761104015,2,5.8,0.062135439366102,
76,140.71247,0.853973,1400,0.004264017301229,10.540918692736,2,5.8,0.004533005878329,
77,140.71247,0.214508,3000,0.476360878616107,0.938645521759212,2,5.8,0.478986710309982,
78,140.71247,0.303001,3000,0.377040728219836,1.06178914050389,2,5.8,0.362171530723572,
79,140.71247,0.428,3000,0.205280240817307,1.42711729309171,2,5.8,0.199293598532677,
80,140.71247,0.604567,3000,0.058472691666868,2.73179475658587,2,5.8,0.056211315095425,
81,140.71247,0.853973,3000,0.003624556137065,10.540918692736,2,5.8,0.003701756242663,
82,140.71247,0.303001,5000,0.358727376294565,1.11386324180062,2,5.8,0.347008794546127,
83,140.71247,0.428,5000,0.194413090432046,1.24225316005462,2,5.8,0.189764767885208,
84,140.71247,0.604567,5000,0.053770064065499,2.64442764861496,2,5.8,0.052548244595528,
85,140.71247,0.853973,5000,0.002954571376678,15.8113883008419,2,5.8,0.00318729900755,
86,140.71247,0.428,9000,0.188981206182892,2.58198745569923,2,5.8,0.179772764444351,
87,140.71247,0.604567,9000,0.051405010246951,1.6158497576605,2,5.8,0.048624526709318,
88,140.71247,0.853973,9000,0.002825849364973,6.900661545229,2,5.8,0.002637045457959,
