coalition_labels,size,chi2,is_outlier
dbar|c,2,0.00626194,0
sbar|g|d|s,4,0.00621069,0
cbar|sbar|g|u,4,0.00620207,0
sbar|dbar|g|d,4,0.00619918,0
sbar|d|u|c,4,0.00618680,0
sbar|u|c,3,0.00617150,0
ubar|dbar|g,3,0.00612025,0
ubar|g|s|c,4,0.00610858,0
g|d|u|c,4,0.00609262,0
cbar|ubar|u,3,0.00608309,0
cbar|sbar|dbar|d,4,0.00605721,0
sbar|ubar|u,3,0.00604821,0
cbar|sbar|u|s,4,0.00604073,0
dbar|g|d|s|c,5,0.00603104,0
cbar|ubar|g|c,4,0.00602822,0
cbar|g|d|c,4,0.00600734,0
cbar|ubar|dbar|s,4,0.00598299,0
cbar|dbar|g|d|c,5,0.00596018,0
cbar|d|u,3,0.00592611,0
cbar|g|u|c,4,0.00592530,0
dbar|g,2,0.00591465,0
ubar|dbar|s|c,4,0.00589257,0
cbar|ubar|dbar,3,0.00582836,0
ubar|dbar|d|c,4,0.00576467,0
dbar|d|u,3,0.00573981,0
sbar|d|s,3,0.00569956,0
cbar|dbar|g,3,0.00569511,0
cbar|g|u|s,4,0.00569010,0
cbar|sbar|ubar|g,4,0.00566401,0
sbar|dbar|d|s,4,0.00565858,0
cbar|sbar|g|d|c,5,0.00562518,0
cbar|dbar|d|s,4,0.00555091,0
sbar|ubar|s|c,4,0.00552188,0
ubar|u|c,3,0.00551960,0
g|u|s|c,4,0.00543370,0
sbar|ubar|d,3,0.00542625,0
ubar|dbar|g|d,4,0.00538813,0
cbar|dbar|s|c,4,0.00532576,0
ubar|g|s,3,0.00530611,0
cbar|g|d,3,0.00528549,0
ubar|dbar|g|s,4,0.00527606,0
dbar|g|s|c,4,0.00526766,0
cbar|d|c,3,0.00526535,0
sbar|dbar|d,3,0.00524104,0
dbar|d|s|c,4,0.00518751,0
sbar|ubar|g|c,4,0.00518580,0
sbar|g|d|u,4,0.00515513,0
sbar|ubar|g|s,4,0.00511202,0
sbar|g|u,3,0.00509665,0
d|u|c,3,0.00509050,0
sbar|g|u|s,4,0.00507808,0
ubar|s|c,3,0.00506459,0
cbar|sbar|u,3,0.00505972,0
ubar|g|u,3,0.00502494,0
cbar|dbar|d|c,4,0.00495369,0
cbar|sbar|g|s|c,5,0.00491172,0
cbar|sbar|d|c,4,0.00487611,0
cbar|ubar|c,3,0.00482157,0
cbar|u|s,3,0.00473738,0
dbar,1,0.00473590,0
cbar|ubar|g,3,0.00472718,0
cbar|u|c,3,0.00471497,0
g|d|u,3,0.00471021,0
ubar|dbar,2,0.00470450,0
dbar|g|d|s,4,0.00468517,0
dbar|g|d|c,4,0.00464921,0
cbar|d,2,0.00461862,0
cbar|dbar,2,0.00453599,0
cbar|sbar|ubar,3,0.00452550,0
cbar|g|s|c,4,0.00442707,0
u|s|c,3,0.00438633,0
ubar|s,2,0.00433728,0
g|u|c,3,0.00430538,0
cbar|dbar|g|s,4,0.00424829,0
cbar|sbar|g|d,4,0.00424511,0
sbar|d|u,3,0.00422093,0
ubar|dbar|d,3,0.00420006,0
dbar|s|c,3,0.00419645,0
sbar|ubar|s,3,0.00413611,0
cbar|sbar|g|c,4,0.00412628,0
cbar|sbar|s|c,4,0.00411750,0
cbar|dbar|g|d,4,0.00411582,0
sbar|u|s,3,0.00409862,0
ubar|dbar|s,3,0.00404276,0
sbar|ubar|c,3,0.00395221,0
