#: table_doi: 10.17182/hepdata.80076.v1/t9
#: name: Table 9
#: description: Statistical correlation between bins in data for the differential cross sections for the production of W<sup>+</sup> bosons as a function of the H<sub> T</sub> for events with N<sub> jets</sub> &ge; 1.
#: data_file: data9.yaml
#: keyword reactions: P P --> W JET(S) X
#: keyword observables: CORR
#: keyword phrases: Inclusive | Statistical Correlation | Cross Section | Proton-Proton Scattering | W Production | Jet Production
#: keyword cmenergies: 8000.0
#: PT(LEPTON) [GEV],,,,,> 25
#: RE,,,,,P P --> W JET(S) X
#: PT(JET) [GEV],,,,,> 30
#: Correlation for cross section,,,,,W+ (electron channel)
#: SQRT(S) [GEV],,,,,8000.0
#: ABS(ETARAP(ELECTRON)),,,,,< 2.5
#: ABS(YRAP(JET)),,,,,< 4.4
$H_\text{T}\text{ [GeV]}$,$H_\text{T}\text{ [GeV]}$ LOW,$H_\text{T}\text{ [GeV]}$ HIGH,$H_\text{T}\text{ [GeV]}$,$H_\text{T}\text{ [GeV]}$ LOW,$H_\text{T}\text{ [GeV]}$ HIGH,$\rho^{W^+}(H_\text{T})$
575.0,550.0,600.0,950.0,900.0,1000.0,0.000572
575.0,550.0,600.0,1050.0,1000.0,1100.0,0.000185
575.0,550.0,600.0,1150.0,1100.0,1200.0,3.1e-05
575.0,550.0,600.0,1300.0,1200.0,1400.0,1e-06
575.0,550.0,600.0,1500.0,1400.0,1600.0,-2.1e-05
575.0,550.0,600.0,2050.0,1600.0,2500.0,4.6e-05
625.0,600.0,650.0,75.0,50.0,100.0,-1.7e-05
625.0,600.0,650.0,125.0,100.0,150.0,9e-06
625.0,600.0,650.0,175.0,150.0,200.0,-1.3e-05
625.0,600.0,650.0,225.0,200.0,250.0,-2.1e-05
625.0,600.0,650.0,275.0,250.0,300.0,7.1e-05
625.0,600.0,650.0,325.0,300.0,350.0,0.000199
625.0,600.0,650.0,375.0,350.0,400.0,-0.000544
625.0,600.0,650.0,425.0,400.0,450.0,-0.016556
625.0,600.0,650.0,475.0,450.0,500.0,-0.077763
625.0,600.0,650.0,525.0,500.0,550.0,-0.05418
625.0,600.0,650.0,575.0,550.0,600.0,0.464389
625.0,600.0,650.0,625.0,600.0,650.0,1.0
625.0,600.0,650.0,675.0,650.0,700.0,0.508518
625.0,600.0,650.0,750.0,700.0,800.0,-0.079182
625.0,600.0,650.0,850.0,800.0,900.0,-0.043315
625.0,600.0,650.0,950.0,900.0,1000.0,-0.00221
625.0,600.0,650.0,1050.0,1000.0,1100.0,0.000546
625.0,600.0,650.0,1150.0,1100.0,1200.0,0.000122
625.0,600.0,650.0,1300.0,1200.0,1400.0,1.4e-05
625.0,600.0,650.0,1500.0,1400.0,1600.0,-1e-06
