player,coalition_without,v_without,v_with,delta_v,is_outlier
d,sbar|ubar|g|u,0.02276539,0.04151293,0.01874755,0
s,sbar|ubar|g|d|u,0.04151293,0.06022897,0.01871604,0
s,ubar|dbar|g|d|c,0.03616637,0.05479076,0.01862438,0
d,cbar|sbar|ubar|dbar,0.01742407,0.03599719,0.01857312,0
s,cbar|ubar|dbar|g|d|u|c,0.04791398,0.06640717,0.01849319,0
u,cbar|sbar|dbar,0.01339879,0.03186767,0.01846887,0
u,dbar|g|c,0.01224211,0.03071056,0.01846845,0
d,ubar|dbar,0.00754235,0.02600715,0.01846480,0
sbar,cbar|dbar|u|c,0.02194836,0.04040524,0.01845687,0
d,cbar|dbar|g|s|c,0.01379085,0.03224473,0.01845388,0
dbar,cbar|sbar|u|s|c,0.01827932,0.03656288,0.01828355,0
ubar,cbar|dbar|g|s|c,0.01379085,0.03206466,0.01827382,0
ubar,sbar|g|s,0.01027698,0.02851185,0.01823487,0
s,ubar|d|u,0.02842342,0.04663107,0.01820765,0
ubar,cbar|sbar|s|c,0.00733088,0.02552931,0.01819843,0
sbar,dbar|u|s|c,0.02204405,0.04023553,0.01819148,0
dbar,sbar|u|s,0.01380568,0.03195204,0.01814635,0
d,sbar|ubar|dbar|g|u|s|c,0.04839221,0.06653275,0.01814054,0
ubar,cbar|g|c,0.00472045,0.02283249,0.01811204,0
ubar,sbar|dbar|g|d,0.02248454,0.04057454,0.01809000,0
u,sbar|dbar|s,0.01388223,0.03195204,0.01806981,0
ubar,cbar|sbar|dbar|d|c,0.01809266,0.03614185,0.01804919,0
s,sbar|ubar|d|c,0.02926486,0.04729182,0.01802697,0
ubar,cbar|u|s,0.00695539,0.02497183,0.01801645,0
d,cbar|ubar|dbar|g|u|c,0.02992260,0.04791398,0.01799138,0
s,cbar|sbar|ubar|dbar|d,0.03599719,0.05390831,0.01791111,0
s,cbar|sbar|ubar|d|u|c,0.03839971,0.05629914,0.01789943,0
u,sbar|ubar|dbar|g|c,0.02610537,0.04397676,0.01787138,0
ubar,cbar|dbar|d|u,0.01525980,0.03312934,0.01786953,0
sbar,dbar|u,0.01942252,0.03728863,0.01786612,0
d,sbar|ubar|dbar|g,0.02272422,0.04057454,0.01785032,0
sbar,cbar|dbar|g|u|s|c,0.02745805,0.04529707,0.01783902,0
u,sbar|dbar|g|d|c,0.02596882,0.04380299,0.01783417,0
s,sbar|ubar|dbar|g|d,0.04057454,0.05834305,0.01776851,0
s,sbar|ubar|g|d|u|c,0.04331275,0.06107032,0.01775756,0
u,dbar|c,0.00876862,0.02651612,0.01774750,0
s,cbar|sbar|ubar|dbar|g|d|u,0.05439164,0.07203143,0.01763979,0
d,cbar|sbar|s|c,0.00733088,0.02492861,0.01759773,0
ubar,dbar|d|u|s|c,0.02432763,0.04191472,0.01758709,0
d,cbar|u|s,0.00695539,0.02450980,0.01755442,0
sbar,cbar|dbar|g|u,0.02058359,0.03809802,0.01751443,0
d,s|c,0.00236426,0.01985164,0.01748738,0
ubar,d|u|c,0.01047499,0.02791289,0.01743790,0
dbar,g|u|c,0.01334503,0.03071056,0.01736554,0
ubar,cbar|sbar|g|u|s,0.02128979,0.03865025,0.01736046,0
s,ubar|dbar|d,0.02600715,0.04326553,0.01725838,0
dbar,cbar|ubar|d|s,0.07241513,0.05515764,-0.01725749,0
sbar,dbar|g|u|s,0.02223157,0.03948372,0.01725215,0
