#: table_doi: 10.17182/hepdata.89225.v1/t5
#: name: Table 5
#: description: Statistical correlation between bins in data for the measured fiducial cross-section of $WW\rightarrow e\mu$ production for the observable $p_\text{T}^{\text{lead }\ell}$.

#: data_file: data5.yaml
#: keyword reactions: P P --> W+ W-
#: keyword observables: CORR
#: keyword phrases: Correlation | Proton-Proton Scattering | W pair Production
#: keyword cmenergies: 13000.0
#: PT(JET) [GEV],,,,,> 35
#: M(ELECTRON,MUON) [GEV],,,,,> 55
#: Statistical correlation for cross section,,,,,WW production
#: ABS(ETARAP(JET)),,,,,< 4.5
#: ETMISS [GEV],,,,,> 20
#: N(JET),,,,,= 0
#: PT(ELECTRON,MUON) [GEV],,,,,> 30
#: RE,,,,,P P --> W+ W-
#: SQRT(S) [GEV],,,,,13000.0
#: ABS(ETARAP(LEPTON)),,,,,< 2.5
#: PT(LEPTON) [GEV],,,,,> 27
"$p_{T}^{lead\,l}\text{ [GeV]}$","$p_{T}^{lead\,l}\text{ [GeV]}$ LOW","$p_{T}^{lead\,l}\text{ [GeV]}$ HIGH","$p_{T}^{lead\,l}\text{ [GeV]}$","$p_{T}^{lead\,l}\text{ [GeV]}$ LOW","$p_{T}^{lead\,l}\text{ [GeV]}$ HIGH","$\rho(p_{T}^{lead\,l})$"
260.0,220.0,300.0,65.0,60.0,70.0,0.0034
260.0,220.0,300.0,75.0,70.0,80.0,-0.0133
260.0,220.0,300.0,85.0,80.0,90.0,-0.0146
260.0,220.0,300.0,95.0,90.0,100.0,0.0113
260.0,220.0,300.0,105.0,100.0,110.0,0.0066
260.0,220.0,300.0,120.0,110.0,130.0,-0.01
260.0,220.0,300.0,140.0,130.0,150.0,-0.0033
260.0,220.0,300.0,162.5,150.0,175.0,-0.0004
260.0,220.0,300.0,197.5,175.0,220.0,0.1068
260.0,220.0,300.0,260.0,220.0,300.0,1.0
260.0,220.0,300.0,649.5,300.0,999.0,0.0909
649.5,300.0,999.0,33.5,27.0,40.0,0.0177
649.5,300.0,999.0,45.0,40.0,50.0,-0.0092
649.5,300.0,999.0,55.0,50.0,60.0,0.0006
649.5,300.0,999.0,65.0,60.0,70.0,-0.0007
649.5,300.0,999.0,75.0,70.0,80.0,-0.0256
649.5,300.0,999.0,85.0,80.0,90.0,-0.0014
649.5,300.0,999.0,95.0,90.0,100.0,-0.014
649.5,300.0,999.0,105.0,100.0,110.0,0.0155
649.5,300.0,999.0,120.0,110.0,130.0,0.0061
649.5,300.0,999.0,140.0,130.0,150.0,0.0385
649.5,300.0,999.0,162.5,150.0,175.0,0.0223
649.5,300.0,999.0,197.5,175.0,220.0,0.0221
649.5,300.0,999.0,260.0,220.0,300.0,0.0909
649.5,300.0,999.0,649.5,300.0,999.0,1.0

